黒,名詞,一般,,,,,黒,クロ,クロ
馬,名詞,接尾,一般,,,,馬,バ,バ
に,助詞,格助詞,一般,,,,に,ニ,ニ
風景,名詞,一般,,,,,風景,フウケイ,フーケイ
が,助詞,格助詞,一般,,,,が,ガ,ガ
映,動詞,自立,,,五段・ラ行,体言接続特殊２,映る,ウツ,ウツ
つ,助動詞,,,,下二・タ行,基本形,つ,ツ,ツ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
朝,名詞,副詞可能,,,,,朝,アサ,アサ
の,助詞,連体化,,,,,の,ノ,ノ
パン,名詞,一般,,,,,パン,パン,パン
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
石竹,名詞,一般,,,,,石竹,セキチク,セキチク
の,助詞,連体化,,,,,の,ノ,ノ
花,名詞,一般,,,,,花,ハナ,ハナ
と,助詞,並立助詞,,,,,と,ト,ト
一,名詞,数,,,,,一,イチ,イチ
しよ,動詞,自立,,,サ変・スル,未然ウ接続,する,シヨ,シヨ
に,助詞,格助詞,一般,,,,に,ニ,ニ
食,動詞,自立,,,一段,連用形,食る,クエ,クエ
はう,動詞,自立,,,五段・ワ行促音便,基本形,はう,ハウ,ハウ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
この,連体詞,,,,,,この,コノ,コノ
一群,名詞,一般,,,,,一群,イチグン,イチグン
の,助詞,連体化,,,,,の,ノ,ノ
天使,名詞,一般,,,,,天使,テンシ,テンシ
たち,名詞,接尾,一般,,,,たち,タチ,タチ
は,助詞,係助詞,,,,,は,ハ,ワ
蓄音機,名詞,一般,,,,,蓄音機,チクオンキ,チクオンキ
の,助詞,連体化,,,,,の,ノ,ノ
レコオド,名詞,一般,,,,,レコオド,レコオド,レコオド
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
翼,名詞,一般,,,,,翼,ツバサ,ツバサ
に,助詞,格助詞,一般,,,,に,ニ,ニ
し,動詞,自立,,,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
町,名詞,一般,,,,,町,マチ,マチ
は,助詞,係助詞,,,,,は,ハ,ワ
づれ,名詞,一般,,,,,づれ,づれ,づれ
に,助詞,格助詞,一般,,,,に,ニ,ニ
栗,名詞,一般,,,,,栗,グリ,グリ
の,助詞,連体化,,,,,の,ノ,ノ
木,名詞,一般,,,,,木,キ,キ
が,助詞,格助詞,一般,,,,が,ガ,ガ
一,名詞,数,,,,,一,イチ,イチ
本,名詞,接尾,助数詞,,,,本,ホン,ホン
。,記号,句点,,,,,。,。,。
その,連体詞,,,,,,その,ソノ,ソノ
下,名詞,一般,,,,,下,シタ,シタ
に,助詞,格助詞,一般,,,,に,ニ,ニ
インク,名詞,一般,,,,,インク,インク,インク
が,助詞,格助詞,一般,,,,が,ガ,ガ
こぼれ,動詞,自立,,,一段,連用形,こぼれる,コボレ,コボレ
て,助詞,接続助詞,,,,,て,テ,テ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
青い,形容詞,自立,,,形容詞・アウオ段,基本形,青い,アオイ,アオイ
山,名詞,一般,,,,,山,ヤマ,ヤマ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
ひつ,名詞,一般,,,,,ひつ,ヒツ,ヒツ
掻い,動詞,自立,,,五段・カ行イ音便,連用タ接続,掻く,カイ,カイ
て,助詞,接続助詞,,,,,て,テ,テ
見,動詞,自立,,,一段,連用形,見る,ミ,ミ
給,名詞,接尾,一般,,,,給,キュウ,キュー
へ,助詞,格助詞,一般,,,,へ,ヘ,エ
。,記号,句点,,,,,。,。,。
石鹸,名詞,一般,,,,,石鹸,セッケン,セッケン
