誰,名詞,代名詞,一般,,,,誰,ダレ,ダレ
でも,助詞,副助詞,,,,,でも,デモ,デモ
わたし,名詞,代名詞,一般,,,,わたし,ワタシ,ワタシ
の,助詞,連体化,,,,,の,ノ,ノ
やう,名詞,非自立,助動詞語幹,,,,やう,ヤウ,ヨー
だら,助動詞,,,,特殊・ダ,未然形,だ,ダラ,ダラ
う,助動詞,,,,不変化型,基本形,う,ウ,ウ
か,助詞,副助詞／並立助詞／終助詞,,,,,か,カ,カ
？——,名詞,サ変接続,,,,,？——,？——,？——
ジュウル・ルナアル,名詞,一般,,,,,ジュウル・ルナアル,ジュウル・ルナアル,ジュウル・ルナアル
僕,名詞,代名詞,一般,,,,僕,ボク,ボク
は,助詞,係助詞,,,,,は,ハ,ワ
屈辱,名詞,一般,,,,,屈辱,クツジョク,クツジョク
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
受け,動詞,自立,,,一段,連用形,受ける,ウケ,ウケ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,,,,時,トキ,トキ
、,記号,読点,,,,,、,、,、
なぜ,副詞,助詞類接続,,,,,なぜ,ナゼ,ナゼ
か,助詞,副助詞／並立助詞／終助詞,,,,,か,カ,カ
急,名詞,形容動詞語幹,,,,,急,キュウ,キュー
に,助詞,格助詞,一般,,,,に,ニ,ニ
は,助詞,係助詞,,,,,は,ハ,ワ
不快,名詞,形容動詞語幹,,,,,不快,フカイ,フカイ
に,助詞,格助詞,一般,,,,に,ニ,ニ
は,助詞,係助詞,,,,,は,ハ,ワ
なら,動詞,非自立,,,五段・ラ行,未然形,なる,ナラ,ナラ
ぬ,助動詞,,,,特殊・ヌ,基本形,ぬ,ヌ,ヌ
。,記号,句点,,,,,。,。,。
が,接続詞,,,,,,が,ガ,ガ
、,記号,読点,,,,,、,、,、
彼是,名詞,代名詞,一般,,,,彼是,アレコレ,アレコレ
一,名詞,数,,,,,一,イチ,イチ
時間,名詞,副詞可能,,,,,時間,ジカン,ジカン
ほど,助詞,副助詞,,,,,ほど,ホド,ホド
する,動詞,自立,,,サ変・スル,基本形,する,スル,スル
と,助詞,接続助詞,,,,,と,ト,ト
、,記号,読点,,,,,、,、,、
だんだん,副詞,一般,,,,,だんだん,ダンダン,ダンダン
不快,名詞,形容動詞語幹,,,,,不快,フカイ,フカイ
に,助詞,格助詞,一般,,,,に,ニ,ニ
なる,動詞,自立,,,五段・ラ行,基本形,なる,ナル,ナル
の,名詞,非自立,一般,,,,の,ノ,ノ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
常,名詞,一般,,,,,常,ツネ,ツネ
として,助詞,格助詞,連語,,,,として,トシテ,トシテ
ゐる,動詞,自立,,,一段,基本形,ゐる,ヰル,イル
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
僕,名詞,代名詞,一般,,,,僕,ボク,ボク
は,助詞,係助詞,,,,,は,ハ,ワ
ロダン,名詞,固有名詞,人名,姓,,,ロダン,ロダン,ロダン
の,助詞,連体化,,,,,の,ノ,ノ
ウゴリノ,名詞,一般,,,,,ウゴリノ,ウゴリノ,ウゴリノ
伯,名詞,一般,,,,,伯,ハク,ハク
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
見,動詞,自立,,,一段,連用形,見る,ミ,ミ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,,,,時,トキ,トキ
、,記号,読点,,,,,、,、,、
——,名詞,サ変接続,,,,,——,——,——
或は,接続詞,,,,,,或は,アルイハ,アルイワ
ウゴリノ,名詞,一般,,,,,ウゴリノ,ウゴリノ,ウゴリノ
伯,名詞,一般,,,,,伯,ハク,ハク
の,助詞,連体化,,,,,の,ノ,ノ
写真,名詞,一般,,,,,写真,シャシン,シャシン
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
見,動詞,自立,,,一段,連用形,見る,ミ,ミ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,,,,時,トキ,トキ
、,記号,読点,,,,,、,、,、
忽ち,副詞,助詞類接続,,,,,忽ち,タチマチ,タチマチ
男色,名詞,一般,,,,,男色,ナンショク,ナンショク
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
思ひ,動詞,自立,,,四段・ハ行,連用形,思ふ,オモヒ,オモイ
出し,動詞,非自立,,,五段・サ行,連用形,出す,ダシ,ダシ
た,助動詞,,,,特殊・タ,基本形,た,タ,タ
。,記号,句点,,,,,。,。,。
×,記号,一般,,,,,×,カケル,カケル
僕,名詞,代名詞,一般,,,,僕,ボク,ボク
は,助詞,係助詞,,,,,は,ハ,ワ
樹木,名詞,一般,,,,,樹木,ジュモク,ジュモク
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
眺める,動詞,自立,,,一段,基本形,眺める,ナガメル,ナガメル
時,名詞,非自立,副詞可能,,,,時,トキ,トキ
、,記号,読点,,,,,、,、,、
何,名詞,代名詞,一般,,,,何,ナニ,ナニ
か,助詞,副助詞／並立助詞／終助詞,,,,,か,カ,カ
我々,名詞,代名詞,一般,,,,我々,ワレワレ,ワレワレ
人間,名詞,一般,,,,,人間,ニンゲン,ニンゲン
の,助詞,連体化,,,,,の,ノ,ノ
やう,名詞,非自立,助動詞語幹,,,,やう,ヤウ,ヨー
に,助詞,副詞化,,,,,に,ニ,ニ
前後ろ,名詞,一般,,,,,前後ろ,マエウシロ,マエウシロ
の,助詞,格助詞,一般,,,,の,ノ,ノ
ある,動詞,自立,,,五段・ラ行,基本形,ある,アル,アル
やう,名詞,非自立,助動詞語幹,,,,やう,ヤウ,ヨー
に,助詞,副詞化,,,,,に,ニ,ニ
