○,記号,一般,,,,,○,○,○
後生,名詞,一般,,,,,後生,コウセイ,コーセイ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
口,名詞,一般,,,,,口,クチ,クチ
に,助詞,格助詞,一般,,,,に,ニ,ニ
する,動詞,自立,,,サ変・スル,基本形,する,スル,スル
こと,名詞,非自立,一般,,,,こと,コト,コト
、,記号,読点,,,,,、,、,、
一派,名詞,一般,,,,,一派,イッパ,イッパ
の,助詞,連体化,,,,,の,ノ,ノ
癖,名詞,副詞可能,,,,,癖,クセ,クセ
の,助詞,連体化,,,,,の,ノ,ノ
やう,名詞,非自立,助動詞語幹,,,,やう,ヤウ,ヨー
に,助詞,格助詞,一般,,,,に,ニ,ニ
なり,動詞,自立,,,五段・ラ行,連用形,なる,ナリ,ナリ
ぬ,助動詞,,,,不変化型,基本形,ぬ,ヌ,ヌ
。,記号,句点,,,,,。,。,。
陸に,副詞,一般,,,,,陸に,ロクニ,ロクニ
汽車,名詞,一般,,,,,汽車,キシャ,キシャ
あり,動詞,自立,,,五段・ラ行,連用形,ある,アリ,アリ
、,記号,読点,,,,,、,、,、
海,名詞,一般,,,,,海,ウミ,ウミ
に,助詞,格助詞,一般,,,,に,ニ,ニ
汽船,名詞,一般,,,,,汽船,キセン,キセン
あり,動詞,自立,,,五段・ラ行,連用形,ある,アリ,アリ
、,記号,読点,,,,,、,、,、
今や,副詞,一般,,,,,今や,イマヤ,イマヤ
文明,名詞,一般,,,,,文明,ブンメイ,ブンメイ
の,助詞,連体化,,,,,の,ノ,ノ
世,名詞,一般,,,,,世,ヨ,ヨ
の,助詞,連体化,,,,,の,ノ,ノ
便利,名詞,形容動詞語幹,,,,,便利,ベンリ,ベンリ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
主,名詞,形容動詞語幹,,,,,主,オモ,オモ
と,助詞,格助詞,引用,,,,と,ト,ト
すれ,動詞,自立,,,サ変・スル,仮定形,する,スレ,スレ
ば,助詞,接続助詞,,,,,ば,バ,バ
なる,動詞,自立,,,五段・ラ行,基本形,なる,ナル,ナル
べし,助動詞,,,,文語・ベシ,基本形,べし,ベシ,ベシ
。,記号,句点,,,,,。,。,。
何故,副詞,助詞類接続,,,,,何故,ナゼ,ナゼ
と,助詞,副詞化,,,,,と,ト,ト
いはん,名詞,サ変接続,,,,,いはん,イハン,イハン
も,助詞,係助詞,,,,,も,モ,モ
事,名詞,一般,,,,,事,コト,コト
あたらし,形容詞,自立,,,形容詞・アウオ段,文語基本形,あたらい,アタラシ,アタラシ
や,助詞,並立助詞,,,,,や,ヤ,ヤ
、,記号,読点,,,,,、,、,、
お,接頭詞,名詞接続,,,,,お,オ,オ
互に,副詞,一般,,,,,互に,カタミニ,カタミニ
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
に,助詞,格助詞,一般,,,,に,ニ,ニ
於,名詞,一般,,,,,於,於,於
て,助詞,格助詞,連語,,,,て,テ,テ
、,記号,読点,,,,,、,、,、
鼻,名詞,一般,,,,,鼻,ハナ,ハナ
突合,名詞,一般,,,,,突合,突合,突合
は,助詞,係助詞,,,,,は,ハ,ワ
す,動詞,自立,,,サ変・スル,文語基本形,する,ス,ス
憂,形容詞,自立,,,形容詞・アウオ段,ガル接続,憂い,ウ,ウ
なけれ,助動詞,,,,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば,助詞,接続助詞,,,,,ば,バ,バ
なり,動詞,非自立,,,五段・ラ行,連用形,なる,ナリ,ナリ
。,記号,句点,,,,,。,。,。
憂,形容詞,自立,,,形容詞・アウオ段,ガル接続,憂い,ウ,ウ
は,助詞,係助詞,,,,,は,ハ,ワ
寧ろ,副詞,一般,,,,,寧ろ,ムシロ,ムシロ
、,記号,読点,,,,,、,、,、
虞,名詞,一般,,,,,虞,オソレ,オソレ
に,助詞,格助詞,一般,,,,に,ニ,ニ
作る,動詞,自立,,,五段・ラ行,基本形,作る,ツクル,ツクル
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
よし,副詞,一般,,,,,よし,ヨシ,ヨシ
とす,動詞,自立,,,サ変・−スル,文語基本形,とする,トス,トス
。,記号,句点,,,,,。,。,。
○,記号,一般,,,,,○,○,○
仰,動詞,自立,,,一段,連用形,仰る,オオセ,オーセ
有る,動詞,自立,,,五段・ラ行,基本形,有る,アル,アル
通り,名詞,一般,,,,,通り,トオリ,トーリ
皆,名詞,代名詞,一般,,,,皆,ミナ,ミナ
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
に,助詞,格助詞,一般,,,,に,ニ,ニ
遺り,動詞,自立,,,五段・ラ行,連用形,遺る,ノコリ,ノコリ
て,助詞,接続助詞,,,,,て,テ,テ
、,記号,読点,,,,,、,、,、
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
は,助詞,係助詞,,,,,は,ハ,ワ
一々,名詞,副詞可能,,,,,一々,イチイチ,イチイチ
これ,名詞,代名詞,一般,,,,これ,コレ,コレ
が,助詞,格助詞,一般,,,,が,ガ,ガ
批判,名詞,サ変接続,,,,,批判,ヒハン,ヒハン
に,助詞,格助詞,一般,,,,に,ニ,ニ
任,名詞,一般,,,,,任,ニン,ニン
ぜ,助詞,終助詞,,,,,ぜ,ゼ,ゼ
ざる,助動詞,,,,特殊・ヌ,体言接続,ぬ,ザル,ザル
可,名詞,一般,,,,,可,カ,カ
から,助詞,格助詞,一般,,,,から,カラ,カラ
ず,助動詞,,,,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
と,助詞,格助詞,引用,,,,と,ト,ト
せ,動詞,自立,,,サ変・スル,未然ヌ接続,する,セ,セ
ば,助詞,接続助詞,,,,,ば,バ,バ
、,記号,読点,,,,,、,、,、
なり,動詞,自立,,,五段・ラ行,連用形,なる,ナリ,ナリ
たく,助動詞,,,,特殊・タイ,連用テ接続,たい,タク,タク
なき,助動詞,,,,特殊・ナイ,体言接続,ない,ナキ,ナキ
は,助詞,係助詞,,,,,は,ハ,ワ
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
なる,動詞,自立,,,五段・ラ行,基本形,なる,ナル,ナル
か,助詞,副助詞／並立助詞／終助詞,,,,,か,カ,カ
な,助詞,終助詞,,,,,な,ナ,ナ
。,記号,句点,,,,,。,。,。
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
は,助詞,係助詞,,,,,は,ハ,ワ
応,名詞,一般,,,,,応,応,応
に,助詞,格助詞,一般,,,,に,ニ,ニ
塵芥,名詞,一般,,,,,塵芥,ジンカイ,ジンカイ
掃除,名詞,サ変接続,,,,,掃除,ソウジ,ソージ
の,助詞,連体化,,,,,の,ノ,ノ
請負,名詞,サ変接続,,,,,請負,ウケオイ,ウケオイ
所,名詞,接尾,一般,,,,所,ショ,ショ
の,助詞,連体化,,,,,の,ノ,ノ
如く,助動詞,,,,文語・ゴトシ,連用形,如し,ゴトク,ゴトク
なる,動詞,自立,,,五段・ラ行,基本形,なる,ナル,ナル
べし,助動詞,,,,文語・ベシ,基本形,べし,ベシ,ベシ
。,記号,句点,,,,,。,。,。
○,記号,一般,,,,,○,○,○
おもふ,動詞,自立,,,四段・ハ行,基本形,おもふ,オモフ,オモウ
がま,名詞,一般,,,,,がま,ガマ,ガマ
ゝ,記号,一般,,,,,ゝ,ゝ,ゝ
に,助詞,格助詞,一般,,,,に,ニ,ニ
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
軽侮,名詞,サ変接続,,,,,軽侮,ケイブ,ケイブ
せよ,動詞,自立,,,サ変・スル,命令ｙｏ,する,セヨ,セヨ
、,記号,読点,,,,,、,、,、
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
は,助詞,係助詞,,,,,は,ハ,ワ
物,名詞,一般,,,,,物,モノ,モノ
言,名詞,接尾,一般,,,,言,ゴト,ゴト
ふ,名詞,一般,,,,,ふ,フ,フ
こと,名詞,非自立,一般,,,,こと,コト,コト
なし,形容詞,自立,,,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
、,記号,読点,,,,,、,、,、
物,名詞,一般,,,,,物,モノ,モノ
言,名詞,接尾,一般,,,,言,ゴト,ゴト
ふ,名詞,一般,,,,,ふ,フ,フ
とも,助詞,副助詞,,,,,とも,トモ,トモ
諸君,名詞,一般,,,,,諸君,ショクン,ショクン
の,助詞,連体化,,,,,の,ノ,ノ
耳,名詞,一般,,,,,耳,ミミ,ミミ
に,助詞,格助詞,一般,,,,に,ニ,ニ
入る,動詞,自立,,,五段・ラ行,基本形,入る,ハイル,ハイル
こと,名詞,非自立,一般,,,,こと,コト,コト
なし,形容詞,自立,,,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
。,記号,句点,,,,,。,。,。
○,記号,一般,,,,,○,○,○
天下,名詞,一般,,,,,天下,テンカ,テンカ
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
いかに,副詞,一般,,,,,いかに,イカニ,イカニ
せ,動詞,自立,,,サ変・スル,未然ヌ接続,する,セ,セ
ば,助詞,接続助詞,,,,,ば,バ,バ
や,助動詞,,,,特殊・ヤ,基本形,や,ヤ,ヤ
など,助詞,副助詞,,,,,など,ナド,ナド
、,記号,読点,,,,,、,、,、
何,名詞,代名詞,一般,,,,何,ナニ,ナニ
彼,名詞,代名詞,一般,,,,彼,カレ,カレ
に,助詞,格助詞,一般,,,,に,ニ,ニ
つけ,動詞,自立,,,一段,連用形,つける,ツケ,ツケ
て,助詞,接続助詞,,,,,て,テ,テ
呼ぶ,動詞,自立,,,五段・バ行,基本形,呼ぶ,ヨブ,ヨブ
人,名詞,一般,,,,,人,ヒト,ヒト
ある,動詞,自立,,,五段・ラ行,基本形,ある,アル,アル
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
見,動詞,自立,,,一段,連用形,見る,ミ,ミ
たる,助動詞,,,,文語・ナリ,体言接続,たり,タル,タル
時,名詞,非自立,副詞可能,,,,時,トキ,トキ
、,記号,読点,,,,,、,、,、
こ,名詞,一般,,,,,こ,コ,コ
は,助詞,係助詞,,,,,は,ハ,ワ
自己,名詞,一般,,,,,自己,ジコ,ジコ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
いかに,副詞,一般,,,,,いかに,イカニ,イカニ
せ,動詞,自立,,,サ変・スル,未然ヌ接続,する,セ,セ
ば,助詞,接続助詞,,,,,ば,バ,バ
や,助詞,並立助詞,,,,,や,ヤ,ヤ
の,助詞,連体化,,,,,の,ノ,ノ
意,名詞,一般,,,,,意,イ,イ
なる,動詞,自立,,,五段・ラ行,基本形,なる,ナル,ナル
べし,助動詞,,,,文語・ベシ,基本形,べし,ベシ,ベシ
と,助詞,接続助詞,,,,,と,ト,ト
、,記号,読点,,,,,、,、,、
われ,名詞,代名詞,一般,,,,われ,ワレ,ワレ
は,助詞,係助詞,,,,,は,ハ,ワ
思へ,動詞,自立,,,一段,連用形,思へる,オモヘ,オモエ
り,助動詞,,,,文語・リ,基本形,り,リ,リ
。,記号,句点,,,,,。,。,。
○,名詞,数,,,,,○,レイ,レイ
人,名詞,接尾,助数詞,,,,人,ニン,ニン
無茶苦茶,名詞,形容動詞語幹,,,,,無茶苦茶,ムチャクチャ,ムチャクチャ
に,助詞,副詞化,,,,,に,ニ,ニ
後世,名詞,副詞可能,,,,,後世,コウセイ,コーセイ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
呼ぶ,動詞,自立,,,五段・バ行,基本形,呼ぶ,ヨブ,ヨブ
は,助詞,係助詞,,,,,は,ハ,ワ
、,記号,読点,,,,,、,、,、
猶,副詞,一般,,,,,猶,ナオ,ナオ
救け,動詞,自立,,,一段,連用形,救ける,タスケ,タスケ
舟,名詞,接尾,一般,,,,舟,ブネ,ブネ
を,助詞,格助詞,一般,,,,を,ヲ,ヲ
呼ぶ,動詞,自立,,,五段・バ行,基本形,呼ぶ,ヨブ,ヨブ
が,助詞,接続助詞,,,,,が,ガ,ガ
