人物	セリフ
P	(この辺りで有名な、水の上の神社にやってきた。さすがに、荘厳だな…!)
P	(さて…月見の準備を任せてる可憐達は、うまくやってくれてるかな?)
可憐	お、お団子をキレイに積み上げて…。あとは…す、すすきをここに飾れば…。…で、できました。風花さん、美也さん…!
美也	お〜。すばらしいです〜。どこからどう見ても完ぺきなお月見ですね〜。でも、どうしておもちなんですか〜?
風花	美也ちゃん、これはおもちじゃなくて、お月見団子だよ。…食べすぎると、お腹が気になるのは一緒だけど…。
美也	これは、うっかりでした〜。白いもちもちが重なっていて、鏡もちに似ていたので〜。
P	た、たしかにちょっと似てるかもな…。でも、すすきが秋らしさを出してるし。お正月とはまた違う魅力があるだろ?
美也	はい、すすきがそよそよ風に揺れて、とても涼しげですね〜。
可憐	き、今日は月も、とてもキレイで…。…晴れてくれて、本当によかった…。
風花	そうだね♪キレイな満月が夜空に浮かんでて、すごくロマンチック…。
風花	恋人同士、肩を寄せあって、こんな景色を見れたらステキなのになぁ…。
可憐	さ、さすがです、風花さん…。なんだか…大人な発言…♪
風花	でも、まずは相手を見つけるところから始めないとなんだけどね…ぐすん。
P	風花ならチャンスさえあれば、きっと良い人と巡り会えるさ。優しくて、気配りもできる女性だしな。
風花	プロデューサーさん……。
風花	ほんとにそう思ってるなら、どうしてお色気のお仕事ばかり持ってくるんですか…?
P	そ、それは、事務所の方針というか…。セクシー路線も風花の大きな魅力のひとつであるわけで…うん。
風花	うぅ…はぐらかそうとしてますね…。
風花	わ、私だって、いつも流れてばかり、じゃないんですよ。今日という今日は、徹底的に抗議します!
P	え…!?いや俺のことはいいから、みんなでお月見を楽しんでくれよ。…ほら!満月があんなに大きく見える!
美也	おやおや〜、たしかに大きいですね〜。海に落ちてしまいそうです〜。
風花	話をそらさないでくださいー!
美也	お〜。月も大きいですが、風花さんもとっても大きいですね〜。ぴょんぴょん跳ねるたびに、揺れていますよ〜。
風花	ひゃっ…!?み、美也ちゃん!?ちょっ…つつかないでぇ…!
美也	お団子みたいに、もちもちですね〜。それじゃあ、近くにすすきを飾って…。
風花	きゃっ…ふふっ、ダメ、く、くすぐったいからぁ…!プロデューサーさん、可憐ちゃん!た、助けてください〜…!
P	ははは…。
P	(キャラバンを通じて、みんなの絆はさらに深まったみたいだな!ちょっと、スキンシップが激しいようにも見えるが…)
風花	美也ちゃん、すすきをどけて…!うふっうふふふふっ。
P	おーい美也。そろそろ止めないと。風花が、笑いすぎて辛そうだぞ。なぁ、可憐…。
P	……って、あれ?可憐?
P	(…いつの間にかいなくなってる。どこに行ったんだ?)
P	(もう暗いし、この辺は人気が少ない…。可憐の身に何かあったら大変だ。探しに行かないと…!)



P	おーい、可憐!可憐!
P	(可憐、いったいどこに行ったんだ?あまり遠くまで行ってないといいんだが…)
可憐	……。
P	…ん?あそこの岩場に、座っているのは…。
P	こんなところにいたのか。可憐。いきなりいなくなるから心配したぞ。
可憐	あ、プロデューサーさん…。
P	可憐…どうしたんだ、大丈夫か?…もし、風花と美也の間に溶けこめないでいるなら、フォローするが…。
可憐	い、いえ、そういうのじゃないんです…。風花さんや美也さんとは、今回のお仕事で、すごく仲良くなれましたから…。
P	そうか、よかった。…しかし、なら、どうしてこんなところまで歩いてきたんだ?
